Marcus Ferkranus,17,LA Galaxy,Forward,"Rivière-des-Prairies, QC",1
Gerso Fernandes,29,Sporting Kansas City,Forward,"Bissau, Guinea-Bissau, International",13
Omir Fernandez,21,New York Red Bulls,Midfielder,"Bronx, NY",5
Jesus Ferreira,19,FC Dallas,Forward,"McKinney, TX",3
Carlos Fierro,26,San Jose Earthquakes,Midfielder,"Ahome, Mexico, International",10
Nicolas Figal,26,Inter Miami CF,Defender,"Ahome, Mexico, International",10
Maynor Figueroa,37,Houston Dynamo FC,Defender,"Jutiapa, Honduras, International",21
Ethan Finlay,30,Minnesota United FC,Midfielder,"Marshfield, WI",14
Nicolas Firmino,19,New England Revolution,Midfielder,"Somerville, MA",3
Oniel Fisher,29,D.C. United,Defender,"Portmore, Jamaica, International",13
Andres Flores,30,Portland Timbers,Midfielder,"Portmore, Jamaica, International",14
Edison Flores,26,D.C. United,Midfielder,"Portmore, Jamaica, International",10
Anthony Fontana,21,Philadelphia Union,Midfielder,"Newark, DE",5
Andreu Fontas,31,Sporting Kansas City,Defender,"Banyoles, Spain, International",15
Kortne Ford,24,Colorado Rapids,Defender,"Greeley, CO",8
Waylon Francis,30,Columbus Crew SC,Defender,"Greeley, CO",14
Przemyslaw Frankowski,25,Chicago Fire FC,Midfielder,"Greeley, CO",9
Liam Fraser,22,Toronto FC,Midfielder,"Surrey, BC",6
Tyler Freeman,17,Sporting Kansas City,Forward,"Shawnee, KS",1
Matt Freese,22,Philadelphia Union,Goalkeeper,"Wayne, PA",6
Stefan Frei,34,Seattle Sounders FC,Goalkeeper,"Berkeley, CA",18
Alejandro Fuenmayor,24,Houston Dynamo FC,Defender,"Valencia, Venezuela, International",8
Gilbert Fuentes,18,San Jose Earthquakes,Midfielder,"Tracy, CA",2
Raymon Gaddis,30,Philadelphia Union,Defender,"Indianapolis, IN",14
Tony Gallacher,21,Toronto FC,Defender,"Glasgow, Scotland, International",5
Jon Gallagher,24,Atlanta United FC,Forward,"Dundalk, Ireland, International",8
Erickson Gallardo,24,Toronto FC,Midfielder,"Dundalk, Ireland, International",8
Pedro Gallese,30,Orlando City SC,Goalkeeper,"Lima, Peru, International",14
Braian Galvan,20,Colorado Rapids,Midfielder,"Lima, Peru, International",4
Christopher Garcia,17,Real Salt Lake,Midfielder,"El Paso, TX",1
Boniek Garcia,36,Houston Dynamo FC,Midfielder,"El Paso, TX",20
Chase Gasper,24,Minnesota United FC,Defender,"Alexandria, VA",8
Carles Gil,28,New England Revolution,Midfielder,"Valencia, Spain, International",12
Gaston Gimenez,29,Chicago Fire FC,Midfielder,"Formosa, Argentina, International",13
Francisco Ginella,21,Los Angeles Football Club,Midfielder,"Montevideo, Uruguay, International",5
Tomas Giraldo,17,Montreal Impact,Midfielder,"Montreal, QC",1
Justen Glad,23,Real Salt Lake,Defender,"Tucson, AZ",7
Sam Gleadle,24,Minnesota United FC,Defender,"Chichester, United Kingdom, International",8
Jakob Glesnes,26,Philadelphia Union,Defender,"Sotra, Norway, International",10
Erik Godoy,27,Vancouver Whitecaps FC,Defender,"Buenos Aires, Argentina, International",11
Anibal Godoy,30,Nashville SC,Midfielder,"Panama City, Panama, International",14
Yeimar Gomez Andrade,28,Seattle Sounders FC,Defender,"Tado, Colombia, International",12
Yony Gonzalez,26,LA Galaxy,Midfielder,"Tado, Colombia, International",10
Giancarlo Gonzalez,32,LA Galaxy,Defender,"San Jose, Costa Rica, International",16
Omar Gonzalez,32,Toronto FC,Defender,"Dallas, TX",16
Leandro Gonzalez Pirez,28,Inter Miami CF,Defender,"Dallas, TX",12
Tayvon Gray,18,New York City FC,Defender,"Bronx, NY",2
Jacob Greene,17,D.C. United,Defender,"Crofton, MD",1
Jan Gregus,29,Minnesota United FC,Midfielder,"Nitra, Slovakia, International",13
Julian Gressel,26,D.C. United,Midfielder,"Neustadt an der Aisch, Germany, International",10
Alejandro Guido,26,Los Angeles Football Club,Midfielder,"Neustadt an der Aisch, Germany, International",10
Felipe Gutiérrez,30,Sporting Kansas City,Midfielder,"Quintero, Chile, International",14
Brian Gutierrez,17,Chicago Fire FC,Midfielder,"Burbank, IL",1
Cristian Gutierrez,23,Vancouver Whitecaps FC,Defender,"Santiago, Chile, International",7
Andrew Gutman,24,FC Cincinnati,Defender,"Hinsdale, IL",8
Brad Guzan,36,Atlanta United FC,Goalkeeper,"Hinsdale, IL",20
Joseph-Claude Gyau,28,FC Cincinnati,Midfielder,"Silver Spring, MD",12
Justin Haak,19,New York City FC,Midfielder,"Brooklyn, NY",3
Luke Haakenson,23,Nashville SC,Midfielder,"Maple Grove, MN",7
Nick Hagglund,28,FC Cincinnati,Defender,"Cincinnati, OH",12
Marlon Hairston,26,Minnesota United FC,Midfielder,"Jackson, MS",10
Siad Haji,21,San Jose Earthquakes,Midfielder,"Manchester, NH",5
Michael Halliday,17,Orlando City SC,Defender,"Apopka, FL",1
Bill Hamid,30,D.C. United,Goalkeeper,"Apopka, FL",14
Jordan Hamilton,24,Columbus Crew SC,Forward,"Scarborough, ON",8
Niko Hansen,26,Houston Dynamo FC,Midfielder,"Sacramento, CA",10
Wilson Harris,21,Sporting Kansas City,Forward,"Los Angeles, CA",5
Carlos Harvey,20,LA Galaxy,Midfielder,"Panama City, Panama, International",4
Jordan Harvey,36,Los Angeles Football Club,Defender,"Mission Viejo, CA",20
Thomas Hasal,21,Vancouver Whitecaps FC,Goalkeeper,"Saskatoon, SK",5
Jacori Hayes,25,Minnesota United FC,Midfielder,"Bowie, MD",9
Matt Hedges,30,FC Dallas,Defender,"Carmel, IN",14
Fabian Herbers,27,Chicago Fire FC,Midfielder,"Ahaus, Germany, International",11
Felipe Hernandez,22,Sporting Kansas City,Midfielder,"Nashville, TN",6
Javier Hernandez,32,LA Galaxy,Forward,"Nashville, TN",16
Aaron Herrera,23,Real Salt Lake,Defender,"Las Cruces, NM",7
Federico Higuain,36,Inter Miami CF,Midfielder,"Las Cruces, NM",20
Gonzalo Higuaín,32,Inter Miami CF,Forward,"Las Cruces, NM",16
Danny Hoesen,29,San Jose Earthquakes,Forward,"Heerlen, Netherlands, International",13
Ryan Hollingshead,29,FC Dallas,Defender,"Granite Bay, CA",13
Erik Holt,24,Real Salt Lake,Defender,"San Diego, CA",8
Shandon Hopeau,22,Seattle Sounders FC,Midfielder,"Kapolei, HI",6
Matt Hundley,20,Colorado Rapids,Forward,"Littleton, CO",4
Erik Hurtado,30,Sporting Kansas City,Forward,"Beaverton, OR",14
Emerson Hyndman,24,Atlanta United FC,Midfielder,"Dallas, TX",8
Miguel Ibarra,30,Seattle Sounders FC,Midfielder,"Lancaster, CA",14
Sebastien Ibeagha,28,New York City FC,Defender,"Missouri City, TX",12
Milan Iloski,21,Real Salt Lake,Forward,"Escondido, CA",5
Emiliano Insua,31,LA Galaxy,Defender,"Buenos Aires, Argentina, International",15
Clint Irwin,31,Colorado Rapids,Goalkeeper,"Buenos Aires, Argentina, International",15
Aljaz Ivacic,26,Portland Timbers,Goalkeeper,"Buenos Aires, Argentina, International",10
